Date : 2025-06-04 13:45:09
Directory : c:\Users\mattr\Isometric Alpha
Total : 1007 files,  145172 codes, 11315 comments, 36935 blanks, all 193422 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Editor\GoldenSkull_CustomHandleEditor.cs | C#          |         56 |         18 |         14 |         88 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_ColorLayers.cs               | C#          |         31 |          2 |          8 |         41 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_CustomHandle.cs              | C#          |         41 |          3 |          9 |         53 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_Simple_Door_Interaction.cs   | C#          |         39 |          2 |          8 |         49 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_TilemapClearer.cs            | C#          |         17 |          1 |          6 |         24 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_TilemapHelper.cs             | C#          |         22 |          2 |          8 |         32 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Char_Move.cs                      | C#          |         35 |          7 |         10 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Interaction.cs               | C#          |         39 |          2 |          8 |         49 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Script.cs                    | C#          |         78 |          5 |         12 |         95 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Teleport.cs                  | C#          |         55 |          8 |         10 |         73 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\Shaders\Sprite_Additive_Build-In.shader                             | UnityShader |         65 |          1 |         12 |         78 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\TestChar\Scripts\GoldenSkull_Animated_Character.cs                  | C#          |        118 |         28 |         23 |        169 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\TestChar\TestChar_Old\Scripts\GoldenSkull_Simple_Char_Move.cs       | C#          |         52 |         16 |         17 |         85 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\URP\Shaders\URP-SpriteAdditive.shader                                      | UnityShader |        157 |          1 |         33 |        191 |
| c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\URP\Shaders\URP-SpriteAdditive2.shader                                     | UnityShader |        214 |          1 |         48 |        263 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\CHANGELOG.md                                                                                     | Markdown    |         89 |          0 |         19 |        108 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Ink\story.ink                                                                   | Ink         |         19 |          0 |          0 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Ink\story.json                                                                  | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Scripts\BasicInkExample.cs                                                      | C#          |         72 |         22 |         17 |        111 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Scripts\Editor\BasicInkExampleEditor.cs                                         | C#          |         23 |          1 |          3 |         27 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Scripts\QuitGameOnKeypress.cs                                                   | C#          |          7 |          0 |          3 |         10 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Compiler\Auto Compiler\InkPostProcessor.cs                                           | C#          |        159 |         29 |         24 |        212 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Compiler\InkCompiler.cs                                                              | C#          |        628 |         92 |        102 |        822 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Compiler\UnityInkFileHandler.cs                                                      | C#          |         17 |          2 |          4 |         23 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Ink Library\InkCompilerLog.cs                                                        | C#          |         56 |          0 |          8 |         64 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Ink Library\InkFile.cs                                                               | C#          |        244 |         38 |         51 |        333 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Ink Library\InkLibrary.cs                                                            | C#          |        410 |         90 |         52 |        552 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Ink Settings\InkSettings.cs                                                          | C#          |        105 |         23 |         17 |        145 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\Ink Settings\InkSettingsEditor.cs                                                    | C#          |        112 |         10 |         29 |        151 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Core\InkEditorUtils.cs                                                                    | C#          |        279 |         43 |         50 |        372 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\InkEditor.asmdef                                                                          | JSON        |         16 |          0 |          0 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Build Validation\InkPreBuildValidationCheck.cs                                      | C#          |         51 |          6 |          5 |         62 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\File Icons\InkBrowserIcons.cs                                                       | C#          |        172 |          4 |         13 |        189 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Ink Inspector\DefaultAssetEditor.cs                                                 | C#          |         53 |          0 |          7 |         60 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Ink Inspector\DefaultAssetInspector.cs                                              | C#          |         14 |          3 |          2 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Ink Inspector\InkInspector.cs                                                       | C#          |        380 |         28 |         54 |        462 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Player Window\InkHistoryContentItem.cs                                              | C#          |         87 |          1 |          5 |         93 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Player Window\InkPlayerWindow.cs                                                    | C#          |      2,442 |        184 |        432 |      3,058 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\Editor\Tools\Startup Window\InkUnityIntegrationStartupWindow.cs                                  | C#          |         91 |          0 |         20 |        111 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\Ink-Libraries.asmdef                                                                     | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\CharacterRange.cs                                                            | C#          |         38 |         11 |          6 |         55 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\CharacterSet.cs                                                              | C#          |         43 |          0 |         11 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\CommandLineInput.cs                                                          | C#          |         12 |          0 |          0 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\Compiler.cs                                                                  | C#          |        162 |          9 |         42 |        213 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\FileHandler.cs                                                               | C#          |         21 |          0 |          4 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\CommentEliminator.cs                                               | C#          |         63 |         12 |         19 |         94 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser.cs                                                       | C#          |        133 |         12 |         38 |        183 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_AuthorWarning.cs                                         | C#          |         19 |          0 |         10 |         29 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_CharacterRanges.cs                                       | C#          |         51 |          8 |          6 |         65 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Choices.cs                                               | C#          |        144 |         23 |         62 |        229 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_CommandLineInput.cs                                      | C#          |         90 |          8 |         32 |        130 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Conditional.cs                                           | C#          |        189 |         44 |         56 |        289 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Content.cs                                               | C#          |        137 |         28 |         46 |        211 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Divert.cs                                                | C#          |        126 |         33 |         50 |        209 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Expressions.cs                                           | C#          |        344 |         46 |        123 |        513 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Include.cs                                               | C#          |         54 |          5 |         18 |         77 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Knot.cs                                                  | C#          |        159 |         15 |         66 |        240 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Logic.cs                                                 | C#          |        272 |         65 |        106 |        443 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Sequences.cs                                             | C#          |        167 |         11 |         54 |        232 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Statements.cs                                            | C#          |        108 |         20 |         36 |        164 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Tags.cs                                                  | C#          |         47 |          3 |         14 |         64 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkParser\InkParser_Whitespace.cs                                            | C#          |         80 |          6 |         27 |        113 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\InkStringConversionExtensions.cs                                             | C#          |         15 |          0 |          4 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\AuthorWarning.cs                                             | C#          |         16 |          0 |          5 |         21 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Choice.cs                                                    | C#          |        165 |         66 |         60 |        291 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Conditional.cs                                               | C#          |         48 |          8 |         16 |         72 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\ConditionalSingleBranch.cs                                   | C#          |         88 |         38 |         33 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\ConstantDeclaration.cs                                       | C#          |         32 |          5 |         10 |         47 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\ContentList.cs                                               | C#          |         64 |          1 |         14 |         79 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Divert.cs                                                    | C#          |        270 |         60 |         74 |        404 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\DivertTarget.cs                                              | C#          |        117 |         28 |         28 |        173 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Expression.cs                                                | C#          |        210 |         37 |         61 |        308 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\ExternalDeclaration.cs                                       | C#          |         24 |          1 |          6 |         31 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\FlowBase.cs                                                  | C#          |        307 |         47 |         86 |        440 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\FlowLevel.cs                                                 | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\FunctionCall.cs                                              | C#          |        176 |         13 |         54 |        243 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Gather.cs                                                    | C#          |         39 |          1 |         12 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\INamedContent.cs                                             | C#          |          7 |          0 |          3 |         10 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\IWeavePoint.cs                                               | C#          |         12 |          0 |          4 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Identifier.cs                                                | C#          |         11 |          0 |          3 |         14 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\IncludedFile.cs                                              | C#          |         15 |          1 |          5 |         21 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Knot.cs                                                      | C#          |         25 |          2 |          9 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\List.cs                                                      | C#          |         45 |          0 |          9 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\ListDefinition.cs                                            | C#          |        111 |          1 |         28 |        140 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Number.cs                                                    | C#          |         43 |          1 |         10 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Object.cs                                                    | C#          |        279 |         16 |         69 |        364 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Path.cs                                                      | C#          |        129 |         27 |         37 |        193 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Return.cs                                                    | C#          |         27 |          5 |          8 |         40 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Sequence.cs                                                  | C#          |        123 |         43 |         41 |        207 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Stitch.cs                                                    | C#          |         11 |          0 |          4 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Story.cs                                                     | C#          |        327 |         84 |         98 |        509 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\StringExpression.cs                                          | C#          |         54 |          3 |         14 |         71 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Tag.cs                                                       | C#          |         22 |          0 |          6 |         28 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Text.cs                                                      | C#          |         19 |          0 |          6 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\TunnelOnwards.cs                                             | C#          |         68 |          6 |         19 |         93 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\VariableAssignment.cs                                        | C#          |         89 |         10 |         25 |        124 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\VariableReference.cs                                         | C#          |         96 |         27 |         30 |        153 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Weave.cs                                                     | C#          |        433 |        152 |        146 |        731 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy\Wrap.cs                                                      | C#          |         21 |          1 |          7 |         29 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\Plugins\Plugin.cs                                                            | C#          |         10 |          6 |          6 |         22 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\Plugins\PluginManager.cs                                                     | C#          |         55 |          0 |         14 |         69 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\Stats.cs                                                                     | C#          |         43 |         11 |         14 |         68 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\StringParser\StringParser.cs                                                 | C#          |        502 |         53 |        131 |        686 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkCompiler\StringParser\StringParserState.cs                                            | C#          |        127 |         11 |         34 |        172 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\CallStack.cs                                                                  | C#          |        337 |         19 |         88 |        444 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Choice.cs                                                                     | C#          |         26 |         21 |         10 |         57 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\ChoicePoint.cs                                                                | C#          |         72 |          6 |         12 |         90 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Container.cs                                                                  | C#          |        278 |          9 |         80 |        367 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\ControlCommand.cs                                                             | C#          |        138 |         10 |         35 |        183 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\DebugMetadata.cs                                                              | C#          |         61 |          4 |         12 |         77 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Divert.cs                                                                     | C#          |        124 |          1 |         25 |        150 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Error.cs                                                                      | C#          |         10 |         12 |          3 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Flow.cs                                                                       | C#          |         73 |          5 |         15 |         93 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Glue.cs                                                                       | C#          |         11 |          0 |          3 |         14 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\INamedContent.cs                                                              | C#          |          8 |          0 |          3 |         11 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\InkList.cs                                                                    | C#          |        382 |        158 |         75 |        615 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\JsonSerialisation.cs                                                          | C#          |        522 |         82 |        119 |        723 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\ListDefinition.cs                                                             | C#          |         60 |          3 |         13 |         76 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\ListDefinitionsOrigin.cs                                                      | C#          |         43 |          2 |          9 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\NativeFunctionCall.cs                                                         | C#          |        365 |         40 |        104 |        509 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Object.cs                                                                     | C#          |        178 |         26 |         47 |        251 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Path.cs                                                                       | C#          |        225 |          8 |         45 |        278 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Pointer.cs                                                                    | C#          |         50 |          8 |         12 |         70 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Profiler.cs                                                                   | C#          |        262 |         64 |         69 |        395 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\PushPop.cs                                                                    | C#          |         11 |          0 |          3 |         14 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\SearchResult.cs                                                               | C#          |         11 |          6 |          2 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\SimpleJson.cs                                                                 | C#          |        496 |         24 |        128 |        648 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\StatePatch.cs                                                                 | C#          |         56 |          0 |         11 |         67 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Story.cs                                                                      | C#          |      1,626 |        781 |        512 |      2,919 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\StoryException.cs                                                             | C#          |          9 |         12 |          4 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\StoryState.cs                                                                 | C#          |        921 |        178 |        243 |      1,342 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\StringJoinExtension.cs                                                        | C#          |         21 |          0 |          8 |         29 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Tag.cs                                                                        | C#          |         15 |          8 |          5 |         28 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Value.cs                                                                      | C#          |        308 |         21 |         77 |        406 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\VariableAssignment.cs                                                         | C#          |         20 |          2 |          6 |         28 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\VariableReference.cs                                                          | C#          |         40 |          3 |          9 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\VariablesState.cs                                                             | C#          |        286 |         61 |         71 |        418 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\InkLibs\InkRuntime\Void.cs                                                                       | C#          |          9 |          0 |          2 |         11 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\LICENCE.md                                                                                       | Markdown    |          7 |          0 |          6 |         13 |
| c:\Users\mattr\Isometric Alpha\Assets\Ink\README.md                                                                                        | Markdown    |         92 |          0 |         73 |        165 |
| c:\Users\mattr\Isometric Alpha\Assets\InteriorManager.cs                                                                                   | C#          |         57 |          0 |         11 |         68 |
| c:\Users\mattr\Isometric Alpha\Assets\OOCUIDisabler.cs                                                                                     | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\OutlineForSprites\Resources\Sprite-Outline.shader                                                    | UnityShader |        170 |          7 |         37 |        214 |
| c:\Users\mattr\Isometric Alpha\Assets\OutlineForSprites\SpriteOutline.cs                                                                   | C#          |         47 |          0 |         10 |         57 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Cult of Personality.json                                                    | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Fight for the Fallen.json                                                   | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Focus Fire.json                                                             | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Greater Than Themselves.json                                                | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Lead by Example.json                                                        | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\No One Left Behind.json                                                     | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Charisma\Strength in Numbers.json                                                    | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Cripple.json                                                               | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Cunning.json                                                               | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Devastating Criticals.json                                                 | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Exit Strategy.json                                                         | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Flense.json                                                                | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Dexterity\Waylay.json                                                                | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Fourth Weapon Slot.json                                                     | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Ignore the Pain.json                                                        | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Intimidating Presence.json                                                  | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Major Regeneration.json                                                     | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Make It Bleed.json                                                          | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Minor Regeneration.json                                                     | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Onslaught.json                                                              | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Strength\Third Weapon Slot.json                                                      | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Divide and Conquer.json                                                       | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Eye for Detail.json                                                           | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Greater Strikes.json                                                          | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Improved Strikes.json                                                         | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Observation.json                                                              | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Ruinous Strikes.json                                                          | JSON        |          6 |          0 |          0 |          6 |
| c:\Users\mattr\Isometric Alpha\Assets\Perks\StatPerks\Wisdom\Take Cover.json                                                               | JSON        |          6 |          0 |          0 |          6 |
